country,region,year,water_source_type,contaminant_level,ph,turbidity,dissolved_oxygen,nitrate,lead,bacteria_count,water_treatment_method,clean_water_access,diarrheal_cases,cholera_cases,typhoid_cases,infant_mortality_rate,gdp_per_capita,healthcare_access,urbanization,sanitation_coverage,rainfall,temperature,population_density,total_disease_cases,risk_level
Mexico,North,2015,Lake,1.04,6.88,0.15,9.38,10.91,3.03,47,Filtration,91.78,25,1,4,13.77,11855,59.52,85.96,97.36,676,16.48,80,30,Low
Brazil,West,2017,Well,2.48,7.26,1.06,6.73,21.71,4.67,525,Boiling,89.31,63,2,5,19.08,10434,80.14,84.78,94.37,1796,23.11,25,70,Medium
Indonesia,Central,2022,Pond,3.38,7.58,7.03,4.67,22.55,8.32,1055,None,73.08,197,9,35,35.79,4559,54.05,51.23,76.44,1672,24.76,114,241,High
Nigeria,East,2016,Well,2.5,6.86,2.4,7.88,16.29,5.01,210,Boiling,69.6,88,2,8,74.65,2293,46.38,58.27,48.95,1015,25.97,241,98,Medium
Mexico,South,2005,Well,0.73,6.52,2.24,7.8,8.91,2.0,142,Filtration,92.46,39,1,2,18.73,10765,71.5,91.83,87.58,453,25.09,52,42,Low
Ethiopia,West,2013,Tap,1.09,7.59,2.52,7.09,16.94,4.99,54,None,51.47,66,2,5,56.45,1287,55.17,27.55,49.96,969,20.55,116,73,Medium
China,East,2022,River,2.31,6.01,2.52,8.16,15.69,7.02,289,Boiling,96.06,59,0,10,17.63,12323,69.99,62.69,84.07,1226,15.42,111,69,Medium
Mexico,Central,2024,Spring,1.67,7.33,3.21,7.07,14.6,4.63,247,None,92.87,82,2,2,20.04,10849,69.04,81.08,92.06,682,19.34,79,86,Medium
Indonesia,North,2014,Well,2.39,6.62,3.31,6.76,22.26,6.3,417,None,77.32,78,2,11,29.96,4783,70.66,64.21,72.19,2532,25.51,137,91,Medium
Nigeria,Central,2013,Well,2.01,6.97,1.59,6.09,15.22,3.9,297,Chlorination,61.93,132,0,9,73.43,2219,46.32,54.35,50.53,826,28.84,350,141,High
Brazil,South,2023,Well,1.32,6.58,0.15,8.18,14.13,4.14,56,Boiling,87.87,34,1,0,15.03,9045,74.45,85.05,88.46,1632,25.12,34,35,Low
Indonesia,West,2021,River,2.07,6.63,3.25,7.5,17.7,5.87,374,Chlorination,81.11,73,2,18,28.52,5311,69.75,70.23,82.18,1871,26.88,211,93,Medium
Indonesia,West,2002,Pond,3.78,7.29,4.6,6.0,22.78,6.78,765,Chlorination,68.41,196,5,16,33.88,4184,52.46,58.49,69.82,2396,26.31,167,217,High
