year,contaminant_level,ph,turbidity,dissolved_oxygen,nitrate,lead,bacteria_count,clean_water_access,infant_mortality_rate,gdp_per_capita,healthcare_access,urbanization,sanitation_coverage,rainfall,temperature,population_density,country_Brazil,country_China,country_Ethiopia,country_India,country_Indonesia,country_Mexico,country_Nigeria,country_Pakistan,country_USA,region_East,region_North,region_South,region_West,water_source_type_Pond,water_source_type_River,water_source_type_Spring,water_source_type_Tap,water_source_type_Well,water_treatment_method_Chlorination,water_treatment_method_Filtration,water_treatment_method_None
2015,1.32,7.01,0.69,7.62,9.68,5.66,116,87.58,13.56,9146,71.29,77.94,83.76,687,22.63,85,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2013,3.32,6.44,6.75,6.59,23.25,6.09,1113,95.5,19.86,8392,65.11,89.19,78.08,1944,24.92,24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2006,2.11,6.6,4.59,6.95,16.52,6.82,464,66.87,73.55,1589,44.52,42.1,67.96,618,19.13,474,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
2001,2.04,6.71,1.79,7.55,18.21,6.96,238,94.34,16.46,9435,68.91,89.88,85.1,1570,27.31,24,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
2006,2.06,7.43,2.44,7.67,15.74,3.13,251,90.38,14.57,43534,74.84,81.35,83.43,761,10.94,42,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
2009,2.6,6.39,2.91,6.6,22.59,4.32,294,72.79,36.06,2465,49.93,40.88,74.88,1879,27.8,1700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2007,1.1,7.75,1.56,8.76,13.64,0.62,42,92.21,8.68,55412,91.73,81.4,99.5,1059,12.41,41,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
2003,3.22,7.21,6.53,6.73,20.12,8.61,914,67.58,69.68,1554,56.52,45.15,66.18,609,24.1,341,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
2021,1.09,6.88,1.62,8.72,9.78,0.92,50,95.54,15.0,12044,76.95,80.14,88.43,590,21.02,51,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2001,2.53,7.03,4.69,5.74,16.98,5.77,448,58.83,62.11,1202,34.94,24.23,39.75,689,24.09,148,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2001,2.31,7.4,2.87,7.82,12.61,1.87,282,97.26,16.25,10437,70.05,83.12,99.5,889,19.68,50,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
2010,0.38,7.13,0.97,8.55,4.01,1.65,3,96.8,10.57,47719,85.06,79.18,98.81,779,14.61,46,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
2010,0.86,6.93,1.46,8.13,10.05,3.33,26,86.92,19.02,11942,74.64,64.27,95.6,989,18.23,166,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
2010,1.0,6.79,1.52,8.09,11.86,2.73,66,98.53,12.1,51464,81.08,80.09,88.03,860,15.03,34,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
2018,2.32,6.81,2.57,8.61,18.4,5.53,327,54.98,63.99,1162,47.32,18.75,37.4,937,15.31,107,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2019,1.36,6.93,0.15,8.77,10.35,1.37,77,89.98,6.22,46543,93.82,80.4,93.44,801,18.96,36,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
2017,3.28,6.92,6.11,5.17,19.23,10.48,1516,53.9,76.57,2390,51.44,52.89,47.54,965,27.24,187,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2024,0.02,7.43,0.6,9.59,10.02,3.48,4,47.18,57.29,1291,47.89,26.91,33.61,980,18.25,92,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2004,3.43,7.68,3.98,6.67,22.89,4.78,819,73.12,40.17,3163,59.44,47.96,67.57,1768,25.2,1135,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
2005,0.94,7.18,0.48,8.95,12.27,2.51,110,91.91,14.95,10995,75.73,79.73,99.5,745,21.1,84,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2015,2.37,7.61,2.14,6.23,18.76,3.87,131,74.1,25.7,4530,68.54,55.55,87.51,2610,24.08,147,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2024,0.18,7.23,0.76,8.43,7.22,0.05,3,99.7,3.38,61335,89.48,86.07,99.5,590,16.62,38,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False
2019,2.63,7.17,4.67,7.8,14.97,8.5,406,46.79,65.66,994,38.2,25.78,43.56,829,17.48,113,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2001,0.75,6.95,2.09,7.0,13.94,2.62,22,94.57,18.75,8714,75.14,85.06,69.37,1765,25.88,27,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2013,3.36,7.43,3.6,6.57,23.91,7.1,436,80.73,25.9,5267,68.33,57.9,78.91,2480,27.94,111,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
2014,3.53,6.63,5.23,5.85,21.07,7.83,770,55.23,80.24,1985,52.21,52.42,49.7,1163,28.07,245,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
2022,1.0,7.4,1.15,8.78,14.61,2.49,3,77.82,29.11,2897,51.91,38.69,72.64,1359,23.97,592,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2018,1.03,7.66,0.66,8.27,11.09,3.0,8,77.07,29.3,4887,60.1,57.55,66.19,2054,24.53,137,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
2000,2.57,6.81,2.23,6.68,20.68,5.28,546,56.09,78.65,1805,44.1,51.17,51.15,1067,29.04,270,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2007,3.05,7.41,6.05,6.72,20.04,8.63,1056,63.7,73.06,1647,43.09,28.29,64.29,362,24.85,413,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
2019,1.18,7.18,0.93,8.09,11.53,3.79,13,57.06,63.68,1226,48.09,20.04,45.01,889,20.98,74,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2009,2.18,6.81,1.39,6.57,23.6,4.65,153,69.87,38.6,2519,54.44,40.43,66.26,2272,27.55,1144,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
2015,3.27,6.48,4.83,5.72,25.81,10.16,945,71.59,34.48,4774,67.88,63.62,74.48,2426,27.66,180,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
2021,1.36,7.18,3.42,6.63,20.95,3.85,519,69.31,38.57,2523,59.21,33.49,73.53,1068,25.78,515,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
2013,1.15,7.06,0.15,7.36,16.65,4.57,26,73.01,41.5,2409,62.87,44.18,68.92,2124,29.94,1569,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2016,1.4,7.13,1.8,7.03,17.24,1.08,78,68.74,68.53,1823,53.68,42.97,71.62,755,22.82,232,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2009,0.56,7.57,1.33,7.48,16.08,1.16,92,68.75,45.03,2514,50.93,39.73,61.74,1185,26.3,510,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2024,2.28,6.77,4.59,6.47,23.2,3.86,468,81.41,25.62,4899,62.75,62.29,83.18,2094,29.8,202,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
